common_name,scientific_name,category,parts_used,medicinal_properties,common_uses,precautions,description
Boswellia,Boswellia serrata,Tree,Resin,"Anti-inflammatory, Analgesic, Anti-arthritic, Expectorant","Arthritis, Joint pain, Asthma, Inflammatory conditions","Generally safe. May interact with anti-inflammatory drugs.","Frankincense tree resin for inflammation and joint health."
Burdock,Arctium lappa,Herb,"Root, Seeds, Leaves","Blood purifying, Diuretic, Antimicrobial, Prebiotic","Skin conditions, Detoxification, Digestive issues, Joint pain","May cause allergic reactions. Avoid if allergic to daisies.",Deep-rooted plant for blood purification and skin health.
Butchers Broom,Ruscus aculeatus,Shrub,Rhizome,"Venotonic, Anti-inflammatory, Diuretic, Vasoconstrictive","Varicose veins, Hemorrhoids, Chronic venous insufficiency, Leg heaviness","May interact with blood pressure medications. Use cautiously with MAOIs.",Mediterranean shrub for vein and circulation support.
Calendula,Calendula officinalis,Herb,Flowers,"Anti-inflammatory, Antimicrobial, Wound healing, Lymphatic","Wounds, Skin conditions, Inflammation, Immune support","Generally safe. Avoid if allergic to ragweed or daisies.","Bright orange flower with gentle healing properties, especially for skin."
California Poppy,Eschscholzia californica,Herb,"Aerial parts, Root","Sedative, Analgesic, Antispasmodic, Anxiolytic","Insomnia, Anxiety, Pain relief, Nervous tension","Generally safe. May enhance sedative medications. Not for pregnancy.",Gentle sedative wildflower for sleep and anxiety.
Caraway,Carum carvi,Herb,"Seeds, Oil","Carminative, Antispasmodic, Digestive, Galactagogue","Digestive issues, Bloating, Colic, Lactation support","Generally safe. May cause allergic reactions in sensitive individuals.",Aromatic seed for digestive comfort and flavoring.
Cardamom,Elettaria cardamomum,Herb,"Seeds, Pods","Carminative, Digestive, Expectorant, Antibacterial","Digestive issues, Bad breath, Respiratory congestion, Nausea","Generally safe in culinary amounts. May interact with antiplatelet drugs.","Aromatic spice for digestion and breath freshening."
Cascara Sagrada,Rhamnus purshiana,Tree,Bark,"Laxative, Bitter tonic, Digestive stimulant","Constipation, Digestive sluggishness","NOT FOR LONG-TERM USE. Can cause electrolyte imbalances. Not for pregnancy.",Pacific Northwest bark for short-term constipation relief.
Catnip,Nepeta cataria,Herb,"Leaves, Flowers","Sedative, Carminative, Diaphoretic, Antispasmodic","Insomnia, Digestive issues, Fever, Anxiety","Generally safe. May cause drowsiness.",Gentle mint family herb for relaxation and digestion.
Cats Claw,Uncaria tomentosa,Vine,"Inner bark, Root","Immunomodulatory, Anti-inflammatory, Antioxidant, Antiviral","Immune support, Arthritis, Digestive issues, Infections","May interact with immunosuppressants. Not for pregnancy or autoimmune conditions.",Amazonian vine for immune and inflammatory support.
Cayenne,Capsicum annuum,Herb,Fruit,"Circulatory stimulant, Analgesic, Carminative, Antimicrobial","Pain relief, Circulation, Digestive issues, Weight management","May irritate digestive tract. Wash hands after handling. Avoid contact with eyes.",Hot pepper for circulation and pain relief.
Chamomile,Matricaria chamomilla,Herb,Flowers,"Anti-inflammatory, Sedative, Antispasmodic, Digestive","Sleep issues, Anxiety, Digestive problems, Skin conditions","May cause allergic reactions in people sensitive to ragweed.",Gentle calming herb widely used for relaxation and digestion.
Chasteberry,Vitex agnus-castus,Shrub,Berries,"Hormonal balancing, Prolactin regulating, Menstrual regulating","PMS, Menstrual irregularities, Fertility support, Menopausal symptoms","May interact with hormone medications. Not for use during pregnancy.",Mediterranean shrub berry for female hormonal balance.
Chickweed,Stellaria media,Herb,Aerial parts,"Nutritive, Demulcent, Anti-inflammatory, Vulnerary","Skin irritation, Itching, Minor wounds, Weight management","Generally safe. Ensure correct identification as it has toxic look-alikes.",Common garden plant with soothing nutritive properties.
Cinnamon,Cinnamomum verum,Tree,"Bark, Oil","Antimicrobial, Blood sugar regulating, Warming, Digestive","Blood sugar management, Digestive issues, Circulation, Infections","Cassia cinnamon high in coumarin - use Ceylon cinnamon for regular consumption.",Warming spice for blood sugar and digestive support.
Cleavers,Galium aparine,Herb,Aerial parts,"Lymphatic, Diuretic, Alterative, Anti-inflammatory","Lymphatic congestion, Urinary issues, Skin conditions, Edema","Generally safe. May increase urination.",Sticky spring herb for lymphatic and urinary support.
Clove,Syzygium aromaticum,Tree,"Flower buds, Oil","Analgesic, Antimicrobial, Carminative, Antioxidant","Toothache, Digestive issues, Infections, Pain relief","Oil is very potent - use diluted. May interact with blood thinners.",Aromatic spice bud with powerful analgesic properties.
Coltsfoot,Tussilago farfara,Herb,"Leaves, Flowers","Expectorant, Demulcent, Antitussive, Anti-inflammatory","Coughs, Bronchitis, Respiratory conditions, Sore throat","Contains pyrrolizidine alkaloids - use only short-term and not during pregnancy.",Traditional cough remedy with distinctive leaf shape.
Comfrey,Symphytum officinale,Herb,"Leaves, Root","Wound healing, Cell proliferant, Anti-inflammatory, Demulcent","Wounds, Bruises, Sprains, Bone healing","EXTERNAL USE ONLY. Contains pyrrolizidine alkaloids harmful to liver if ingested.",Powerful external wound healer known as knitbone.
Coriander,Coriandrum sativum,Herb,"Seeds, Leaves","Carminative, Digestive, Antimicrobial, Antispasmodic","Digestive issues, Bloating, Detoxification, Blood sugar support","Generally safe. Some people have genetic aversion to cilantro taste.",Versatile culinary herb with digestive and detox properties.
Cranberry,Vaccinium macrocarpon,Shrub,Fruit,"Antimicrobial, Antioxidant, Anti-adhesion, Urinary acidifying","Urinary tract infections, Bladder health, Antioxidant support","May interact with blood thinners. High sugar content in juice products.",North American berry for urinary tract health.
Damiana,Turnera diffusa,Shrub,Leaves,"Aphrodisiac, Nervine, Antidepressant, Urinary tonic","Low libido, Mild depression, Urinary issues, Fatigue","Generally safe. May affect blood sugar levels.",Mexican shrub traditionally used as an aphrodisiac and mood enhancer.
Dandelion,Taraxacum officinale,Herb,"Root, Leaves, Flowers","Diuretic, Hepatic, Digestive bitter, Prebiotic","Liver support, Water retention, Digestive issues, Detoxification","May interact with diuretics and diabetes medications.",Common weed with powerful liver and digestive support properties.
Devils Claw,Harpagophytum procumbens,Herb,Tuber,"Anti-inflammatory, Analgesic, Digestive bitter, Antirheumatic","Arthritis, Joint pain, Back pain, Digestive issues","May interact with blood thinners and heart medications. Not for pregnancy.",African tuber for pain and inflammation relief.
Dong Quai,Angelica sinensis,Herb,Root,"Blood tonic, Hormonal balancing, Anti-inflammatory, Circulatory","Menstrual issues, Menopausal symptoms, Anemia, Circulation","Not for use during pregnancy or with blood thinners. Photosensitizing.","Chinese ""female ginseng"" for blood and hormonal health."
Echinacea,Echinacea purpurea,Herb,"Root, Flowers, Leaves","Immunostimulant, Anti-inflammatory, Antimicrobial, Wound healing","Colds, Flu, Immune support, Infections","Use short-term only. Avoid with autoimmune conditions.",Purple coneflower widely used for immune system support.
Elder,Sambucus nigra,Shrub,"Flowers, Berries","Antiviral, Diaphoretic, Expectorant, Anti-inflammatory","Colds, Flu, Fever, Respiratory infections","Raw berries and other plant parts are toxic. Use only properly prepared products.",European shrub with powerful antiviral and fever-reducing properties.
Elecampane,Inula helenium,Herb,Root,"Expectorant, Antimicrobial, Digestive bitter, Vermifuge","Respiratory infections, Coughs, Digestive issues, Parasites","May cause allergic reactions. Not for pregnancy.",Sunflower family root for deep respiratory support.
Eucalyptus,Eucalyptus globulus,Tree,"Leaves, Oil","Expectorant, Antimicrobial, Decongestant, Cooling","Respiratory infections, Congestion, Muscle pain, Fever","Oil is toxic if ingested. Use diluted externally or for steam inhalation.",Australian tree with powerful respiratory and antimicrobial properties.
Evening Primrose,Oenothera biennis,Herb,"Seeds, Oil","Anti-inflammatory, Hormonal balancing, Skin nourishing, Nerve supporting","PMS, Skin conditions, Hormonal imbalances, Nerve pain","May interact with blood thinners and seizure medications.",North American plant whose seed oil is rich in GLA.
Eyebright,Euphrasia officinalis,Herb,Aerial parts,"Astringent, Anti-inflammatory, Antimicrobial, Decongestant","Eye irritation, Allergies, Sinus congestion, Eye infections","Generally safe. Ensure sterility for eye applications.",Traditional herb specifically for eye and sinus health.
Fennel,Foeniculum vulgare,Herb,"Seeds, Root, Leaves","Carminative, Galactagogue, Antispasmodic, Expectorant","Digestive issues, Lactation support, Colic, Respiratory congestion","May have mild estrogenic effects. Use cautiously with estrogen-sensitive conditions.",Licorice-flavored herb for digestion and lactation.
Fenugreek,Trigonella foenum-graecum,Herb,Seeds,"Galactagogue, Digestive, Blood sugar regulating, Demulcent","Lactation support, Blood sugar management, Digestive issues, Inflammation","May interact with diabetes medications. Not for pregnancy.",Mediterranean seed for lactation and blood sugar support.
Feverfew,Tanacetum parthenium,Herb,Leaves,"Anti-inflammatory, Antimigraine, Antipyretic, Bitter","Migraines, Headaches, Fever, Arthritis","Fresh leaves may cause mouth ulcers. Not for pregnancy. May interact with blood thinners.",Daisy family herb specifically for migraine prevention.
Garlic,Allium sativum,Herb,Bulb,"Antimicrobial, Cardiovascular, Immune boosting, Antioxidant","Heart health, Infections, Immune support, Blood pressure","May interact with blood thinners. Strong odor. May cause digestive upset.",Culinary herb with powerful antimicrobial and cardiovascular benefits.
Gentian,Gentiana lutea,Herb,Root,"Bitter tonic, Digestive stimulant, Appetite enhancer, Cholagogue","Poor appetite, Digestive weakness, Bloating, Liver support","Very bitter. May worsen ulcers or acid reflux. Not for pregnancy.",Extremely bitter root for digestive stimulation.
Ginger,Zingiber officinale,Herb,Rhizome,"Anti-nausea, Anti-inflammatory, Circulatory, Digestive","Nausea, Motion sickness, Inflammation, Digestive issues","May interact with blood thinners. May cause heartburn in some.",Warming rhizome widely used for nausea and digestion.
Ginkgo,Ginkgo biloba,Tree,Leaves,"Circulatory, Neuroprotective, Antioxidant, Anti-inflammatory","Memory, Circulation, Cognitive function, Tinnitus","May interact with blood thinners and many medications. Avoid before surgery.","Ancient tree whose leaves support brain and circulatory health."
Ginseng (American),Panax quinquefolius,Herb,Root,"Adaptogenic, Immunomodulatory, Cognitive enhancing, Yin tonic","Stress, Fatigue, Immune support, Cognitive function","May interact with blood thinners and diabetes medications. Use cyclically.","North American adaptogen, more cooling than Asian ginseng."
Ginseng (Asian),Panax ginseng,Herb,Root,"Adaptogenic, Stimulating, Immunomodulatory, Tonic","Fatigue, Stress, Cognitive function, Physical performance","May cause insomnia or agitation. Many drug interactions. Use cyclically.","Powerful Asian adaptogen for energy and vitality."
Goldenseal,Hydrastis canadensis,Herb,"Root, Rhizome","Antimicrobial, Bitter tonic, Anti-inflammatory, Immune supporting","Infections, Digestive issues, Mucous membrane inflammation","Not for pregnancy. Endangered - use sustainably. Short-term use only.",North American root with powerful antimicrobial properties.
Gotu Kola,Centella asiatica,Herb,Leaves,"Cognitive enhancing, Wound healing, Venous tonic, Adaptogenic","Memory, Wound healing, Varicose veins, Anxiety","May cause photosensitivity. Use cautiously with sedatives.","Asian brain tonic and wound healer, unrelated to cola nut."
Gravel Root,Eupatorium purpureum,Herb,"Root, Rhizome","Diuretic, Urinary antiseptic, Anti-lithic, Anti-inflammatory","Kidney stones, Urinary infections, Gout, Rheumatism","Contains pyrrolizidine alkaloids - use cautiously and short-term.",Tall native plant for kidney and urinary support.
Green Tea,Camellia sinensis,Shrub,Leaves,"Antioxidant, Cognitive enhancing, Metabolic, Cardioprotective","Mental alertness, Antioxidant support, Weight management, Heart health","Contains caffeine. May interact with blood thinners and some medications.",Minimally oxidized tea with high antioxidant content.
Guarana,Paullinia cupana,Vine,Seeds,"Stimulant, Cognitive enhancing, Thermogenic, Fatigue reducing","Energy, Mental alertness, Weight management, Fatigue","High caffeine content. May cause insomnia, anxiety, and heart palpitations.",Amazonian vine seed with high caffeine content.
Gymnema,Gymnema sylvestre,Vine,Leaves,"Blood sugar regulating, Sugar craving reducing, Pancreatic supporting","Diabetes support, Sugar cravings, Weight management","May interact with diabetes medications. Monitor blood sugar closely.","Indian vine called ""sugar destroyer"" for blood sugar support."
Hawthorn,Crataegus species,Shrub,"Berries, Leaves, Flowers","Cardiotonic, Hypotensive, Antioxidant, Vasodilating","Heart health, Blood pressure, Circulation, Anxiety","May interact with heart medications. Use under professional guidance for heart conditions.",European shrub with powerful heart-supporting properties.
Hops,Humulus lupulus,Vine,Strobiles,"Sedative, Bitter tonic, Antispasmodic, Estrogenic","Insomnia, Anxiety, Digestive issues, Menopausal symptoms","May worsen depression. Has estrogenic activity. Avoid with hormone-sensitive conditions.",Bitter brewing herb with strong sedative properties.
Horehound,Marrubium vulgare,Herb,Leaves,"Expectorant, Bitter tonic, Antispasmodic, Diaphoretic","Coughs, Bronchitis, Digestive issues, Fever","Not for pregnancy. May affect blood sugar and heart rhythm.",Bitter mint family herb for respiratory and digestive support.
Horse Chestnut,Aesculus hippocastanum,Tree,"Seeds, Bark","Venotonic, Anti-inflammatory, Astringent, Anti-edema","Varicose veins, Hemorrhoids, Chronic venous insufficiency, Leg swelling","Toxic if not properly processed. Use only standardized extracts.",European tree seed for vein and circulation support.
Horsetail,Equisetum arvense,Herb,Stems,"Diuretic, Remineralizing, Astringent, Connective tissue strengthening","Urinary issues, Bone health, Hair and nails, Wound healing","May deplete thiamine. Not for long-term use. Avoid with heart or kidney disease.",Ancient plant rich in silica for tissue strengthening.
Hyssop,Hyssopus officinalis,Herb,"Leaves, Flowers","Expectorant, Antiviral, Carminative, Diaphoretic","Respiratory infections, Coughs, Digestive issues, Sore throat","Not for pregnancy. May trigger seizures in susceptible individuals.",Biblical herb for respiratory and digestive support.
Irish Moss,Chondrus crispus,Seaweed,Whole plant,"Demulcent, Nutritive, Expectorant, Thyroid supporting","Respiratory conditions, Digestive issues, Skin health, Nutrition","May affect thyroid function. Ensure sustainable and clean sourcing.",North Atlantic seaweed rich in minerals and mucilage.
Juniper,Juniperus communis,Shrub,Berries,"Diuretic, Antimicrobial, Carminative, Urinary antiseptic","Urinary infections, Digestive issues, Arthritis, Edema","Not for pregnancy or kidney disease. Short-term use only.",Conifer berry with strong urinary and digestive properties.
Kava,Piper methysticum,Shrub,Root,"Anxiolytic, Muscle relaxant, Analgesic, Sedative","Anxiety, Stress, Muscle tension, Insomnia","Potential liver toxicity. Not for use with alcohol or liver conditions. Legal restrictions in some areas.",Pacific Island root for anxiety and muscle relaxation.
Lavender,Lavandula angustifolia,Shrub,"Flowers, Oil","Sedative, Anxiolytic, Antimicrobial, Antispasmodic","Anxiety, Insomnia, Headaches, Skin conditions","Generally safe. Essential oil should be diluted for topical use.",Aromatic Mediterranean herb for calming and skin health.
Lemon Balm,Melissa officinalis,Herb,Leaves,"Sedative, Antiviral, Digestive, Antispasmodic","Anxiety, Insomnia, Cold sores, Digestive issues","May interfere with thyroid medications. Generally very safe.",Gentle lemon-scented herb for calming and antiviral support.
Licorice,Glycyrrhiza glabra,Herb,Root,"Demulcent, Expectorant, Adrenal supporting, Anti-inflammatory","Digestive issues, Respiratory conditions, Adrenal fatigue, Ulcers","Can raise blood pressure and deplete potassium. Not for long-term use or heart conditions.",Sweet root with broad healing applications but significant cautions.
Linden,Tilia species,Tree,"Flowers, Leaves","Sedative, Diaphoretic, Antispasmodic, Hypotensive","Anxiety, Colds, Fever, High blood pressure","Generally safe. May enhance sedative medications.",European tree flower for calming and fever support.
Lobelia,Lobelia inflata,Herb,Aerial parts,"Antispasmodic, Expectorant, Emetic, Bronchodilator","Asthma, Bronchitis, Muscle spasms, Smoking cessation","TOXIC IN LARGE DOSES. Professional use only. Not for pregnancy.",Powerful Native American respiratory herb requiring careful use.
Maca,Lepidium meyenii,Herb,Root,"Adaptogenic, Energizing, Hormonal balancing, Libido enhancing","Energy, Libido, Fertility, Hormonal balance","Generally safe. May affect hormone-sensitive conditions.",Peruvian high-altitude root for energy and hormonal support.
Marshmallow,Althaea officinalis,Herb,"Root, Leaves","Demulcent, Emollient, Anti-inflammatory, Expectorant","Digestive inflammation, Respiratory conditions, Skin conditions, Urinary irritation","May slow absorption of other medications. Generally very safe.","Mucilaginous plant for soothing irritated tissues."
Meadowsweet,Filipendula ulmaria,Herb,"Flowers, Leaves","Anti-inflammatory, Digestive, Astringent, Analgesic","Digestive issues, Heartburn, Headaches, Fever","Contains salicylates - avoid with aspirin allergy. Not for children with viral infections.",Natural source of salicylic acid for pain and digestion.
Milk Thistle,Silybum marianum,Herb,Seeds,"Hepatoprotective, Antioxidant, Regenerative, Cholagogue","Liver protection, Liver diseases, Detoxification, Gallbladder support","Generally safe. May interact with some medications metabolized by liver.",Spiny plant whose seeds powerfully protect and regenerate liver cells.
Motherwort,Leonurus cardiaca,Herb,Aerial parts,"Cardiac tonic, Sedative, Antispasmodic, Emmenagogue","Heart palpitations, Anxiety, Menstrual issues, Menopausal symptoms","Not for pregnancy. May interact with heart medications and sedatives.",Heart herb for palpitations and female reproductive support.
Mugwort,Artemisia vulgaris,Herb,Leaves,"Digestive bitter, Emmenagogue, Nervine, Dream enhancing","Digestive issues, Menstrual regulation, Mild anxiety, Dreaming","Not for pregnancy. May cause allergic reactions. Contains thujone.",Aromatic herb for digestion and dream work.
Mullein,Verbascum thapsus,Herb,"Leaves, Flowers","Expectorant, Demulcent, Anti-inflammatory, Antibacterial","Respiratory conditions, Coughs, Ear infections, Asthma","Generally safe. Strain tea well to remove irritating hairs.",Fuzzy-leaved plant for respiratory and ear support.
Myrrh,Commiphora myrrha,Tree,Resin,"Antimicrobial, Astringent, Wound healing, Anti-inflammatory","Oral health, Wounds, Skin infections, Respiratory conditions","May interact with diabetes medications. Not for pregnancy.","Ancient aromatic resin for wound healing and oral health."
Nettle,Urtica dioica,Herb,"Leaves, Root, Seeds","Nutritive, Anti-inflammatory, Diuretic, Antihistamine","Allergies, Prostate health, Arthritis, Nutritional support","Fresh plant stings. Wear gloves when harvesting. May interact with blood thinners.",Highly nutritious herb with broad medicinal applications.
Oat Straw,Avena sativa,Herb,"Stems, Seeds","Nervine, Nutritive, Demulcent, Restorative","Nervous exhaustion, Anxiety, Skin conditions, Nutrition","Generally very safe. Avoid if gluten sensitive (though oats are low in gluten).",Gentle nutritive herb for nervous system restoration.
Olive Leaf,Olea europaea,Tree,Leaves,"Antimicrobial, Antioxidant, Hypotensive, Immunomodulatory","Immune support, Blood pressure, Infections, Cardiovascular health","May lower blood pressure. May interact with blood pressure medications.",Mediterranean tree leaves with antimicrobial and cardiovascular benefits.
Oregon Grape,Mahonia aquifolium,Shrub,"Root, Root bark","Antimicrobial, Hepatic, Alterative, Digestive bitter","Skin conditions, Liver support, Digestive issues, Infections","Contains berberine - not for pregnancy. May cause photosensitivity.",Pacific Northwest shrub with antimicrobial and liver support.
Oregano,Origanum vulgare,Herb,"Leaves, Oil","Antimicrobial, Antioxidant, Digestive, Expectorant","Infections, Digestive issues, Respiratory conditions","Oil is very potent - use diluted. May interact with blood thinners.",Culinary herb with powerful antimicrobial properties.
Parsley,Petroselinum crispum,Herb,"Leaves, Seeds, Root","Diuretic, Carminative, Nutritive, Emmenagogue","Water retention, Digestive issues, Bad breath, Nutritional support","Seeds and large amounts not for pregnancy. May interact with blood thinners.",Common culinary herb with nutritive and diuretic properties.
Passionflower,Passiflora incarnata,Vine,Aerial parts,"Sedative, Anxiolytic, Antispasmodic, Hypotensive","Anxiety, Insomnia, Nervous tension, Muscle spasms","May enhance sedative medications. Not for pregnancy.","Native American vine for calming anxiety and promoting sleep."
Pau DArco,Tabebuia impetiginosa,Tree,Inner bark,"Antimicrobial, Antifungal, Anti-inflammatory, Immune supporting","Fungal infections, Candida, Immune support, Inflammation","Quality varies widely. May interact with blood thinners.",South American tree bark with antifungal properties.
Peppermint,Mentha piperita,Herb,"Leaves, Oil","Carminative, Antispasmodic, Cooling, Analgesic","Digestive issues, Headaches, Respiratory congestion, Nausea","May worsen GERD. Oil should not be applied near face of infants.",Cooling aromatic herb for digestion and mental clarity.
Plantain,Plantago major,Herb,Leaves,"Demulcent, Vulnerary, Astringent, Antimicrobial","Wounds, Insect bites, Digestive issues, Respiratory conditions","Generally very safe. Common lawn plant.",Ubiquitous healing plant for wounds and stings.
Pleurisy Root,Asclepias tuberosa,Herb,Root,"Expectorant, Diaphoretic, Antispasmodic, Anti-inflammatory","Respiratory conditions, Pleurisy, Bronchitis, Fever","Use only in small doses. Large doses are emetic and potentially toxic.",Orange-flowered milkweed for respiratory support.
Psyllium,Plantago ovata,Herb,Seed husks,"Bulk laxative, Demulcent, Cholesterol lowering, Prebiotic","Constipation, Diarrhea, Cholesterol, Blood sugar","Take with plenty of water. May interfere with medication absorption.",Seed husk fiber for digestive regularity.
Red Clover,Trifolium pratense,Herb,Flowers,"Alterative, Phytoestrogenic, Expectorant, Lymphatic","Menopausal symptoms, Skin conditions, Respiratory congestion, Lymphatic support","Contains isoflavones. Avoid with hormone-sensitive conditions and blood thinners.",Common meadow flower for hormonal and lymphatic support.
Red Raspberry Leaf,Rubus idaeus,Shrub,Leaves,"Uterine tonic, Astringent, Nutritive, Antispasmodic","Pregnancy support, Menstrual cramps, Diarrhea, Mouth sores","Generally safe. Traditional use in late pregnancy; consult healthcare provider.","Womens herb especially valued for pregnancy and menstrual support."
Reishi,Ganoderma lucidum,Fungus,Fruiting body,"Immunomodulatory, Adaptogenic, Hepatoprotective, Cardioprotective","Immune support, Stress, Liver health, Longevity","May interact with blood thinners and immunosuppressants.","Mushroom of immortality for immune and stress support."
Rhodiola,Rhodiola rosea,Herb,Root,"Adaptogenic, Cognitive enhancing, Antidepressant, Energy boosting","Stress, Fatigue, Depression, Cognitive function","May cause insomnia if taken late in day. May interact with antidepressants.","Arctic root adaptogen for stress resilience and mental performance."
Rosemary,Rosmarinus officinalis,Shrub,"Leaves, Oil","Cognitive enhancing, Circulatory, Antimicrobial, Antioxidant","Memory, Circulation, Digestive issues, Hair health","Large amounts not for pregnancy. May interact with blood thinners.",Aromatic Mediterranean herb for memory and circulation.
Sage,Salvia officinalis,Herb,Leaves,"Antimicrobial, Astringent, Carminative, Antihidrotic","Sore throat, Excessive sweating, Digestive issues, Memory","Not for pregnancy or nursing (reduces milk). Contains thujone.",Culinary herb with strong antimicrobial and drying properties.
Saw Palmetto,Serenoa repens,Palm,Berries,"Anti-androgenic, Anti-inflammatory, Urinary tonic, Hormonal balancing","Prostate enlargement, Urinary issues, Hair loss, Hormonal imbalances","May interact with hormone medications. Not for pregnancy.",Southeastern US palm berry for prostate and urinary health.
Schisandra,Schisandra chinensis,Vine,Berries,"Adaptogenic, Hepatoprotective, Cognitive enhancing, Astringent","Stress, Liver support, Mental performance, Fatigue","May interact with medications metabolized by liver. Not for pregnancy.","Five-flavor berry adaptogen for liver and mental performance."
Skullcap,Scutellaria lateriflora,Herb,Aerial parts,"Sedative, Nervine, Antispasmodic, Anxiolytic","Anxiety, Insomnia, Nervous tension, Muscle spasms","Generally safe. May enhance sedative medications. Ensure correct species.",Native American herb for calming nervous tension.
Slippery Elm,Ulmus rubra,Tree,Inner bark,"Demulcent, Emollient, Nutritive, Anti-inflammatory","Digestive inflammation, Sore throat, Coughs, Skin conditions","Generally safe. May slow absorption of medications. Tree is threatened.",Mucilaginous bark for soothing irritated tissues.
Spearmint,Mentha spicata,Herb,Leaves,"Carminative, Antispasmodic, Cooling, Antimicrobial","Digestive issues, Nausea, Hormonal acne, Fresh breath","Generally safe. Milder than peppermint.",Gentler mint for digestion and freshening.
St. Johns Wort,Hypericum perforatum,Herb,Flowering tops,"Antidepressant, Nervine, Anti-inflammatory, Antiviral","Mild depression, Anxiety, Nerve pain, Wound healing","MANY DRUG INTERACTIONS including birth control and antidepressants. Causes photosensitivity.",Yellow flower for mood support with significant drug interaction concerns.
Tea Tree,Melaleuca alternifolia,Tree,"Leaves, Oil","Antimicrobial, Antifungal, Anti-inflammatory, Immunostimulant","Skin infections, Fungal conditions, Acne, Wound healing","EXTERNAL USE ONLY. Oil is toxic if ingested. May cause skin sensitivity.",Australian tree oil with powerful antimicrobial properties.
Thyme,Thymus vulgaris,Herb,"Leaves, Oil","Antimicrobial, Expectorant, Antispasmodic, Carminative","Respiratory infections, Coughs, Digestive issues, Skin conditions","Generally safe in culinary amounts. Oil should be diluted.",Culinary herb with strong antimicrobial and respiratory benefits.
Turmeric,Curcuma longa,Herb,Rhizome,"Anti-inflammatory, Antioxidant, Hepatoprotective, Digestive","Inflammation, Joint pain, Digestive issues, Liver support","May interact with blood thinners. Best absorbed with black pepper and fat.",Golden spice with powerful anti-inflammatory properties.
Uva Ursi,Arctostaphylos uva-ursi,Shrub,Leaves,"Urinary antiseptic, Astringent, Diuretic, Antimicrobial","Urinary tract infections, Bladder infections","Short-term use only. Requires alkaline urine. Not for pregnancy or kidney disease.",Mountain shrub leaf for urinary tract infections.
Valerian,Valeriana officinalis,Herb,Root,"Sedative, Anxiolytic, Antispasmodic, Hypotensive","Insomnia, Anxiety, Muscle tension, Stress","May cause paradoxical stimulation in some. Strong odor. May enhance sedatives.",Strong-smelling root for sleep and anxiety.
